Type de Champ	Propriété	Description	Type de Donnée	Obligatoire	Remarques
	        ValueType	Type de données de la valeur (ex: "STRING").	Chaîne de caractères	Oui	
	Validations	Tableau d'Objets: Définit les règles de validation.		Oui	
	    Id	Identifiant de la règle de validation.	Chaîne de caractères	Oui	
	    Type	Type de validation (ex: "ERROR").	Chaîne de caractères	Oui	
	    ConditionExpression	Objet: Définit les conditions de déclenchement de la validation.		Oui	
	        LogicalOperator	Opérateur logique pour combiner les conditions (ex: "AND").	Chaîne de caractères	Oui	
	        Conditions	Tableau d'Objets: Conditions individuelles.		Oui	
	            RightField	ID du champ à valider.	Chaîne de caractères	Oui	
	            Operator	Opérateur de comparaison (ex: "ISN" pour "est nul").	Chaîne de caractères	Oui	
	            Value	Valeur à comparer.	Chaîne de caractères	Non	
	            ValueType	Type de données de la valeur (ex: "DATE", "STRING").	Chaîne de caractères	Oui	
CHECKBOX	Id	Identifiant unique de la case à cocher.	Chaîne de caractères	Oui	
	label	Libellé affiché à côté de la case à cocher.	Chaîne de caractères	Oui	
	CheckboxValue	Valeur du champ lorsqu'il est coché (ex: true).	Booléen	Oui	
	spacing	Espacement autour de la case à cocher (ex: 0).	Nombre	Oui	
	Value	État initial ou par défaut de la case à cocher (ex: false).	Booléen	Oui	
	Width	Largeur du composant case à cocher (ex: "600px").	Chaîne de caractères	Oui	
	EnabledWhen	Objet: Définit les conditions d'activation du champ.		Oui	
	    Conditions	Tableau d'Objets: Conditions individuelles.		Oui	
	        RightField	ID du champ à vérifier.	Chaîne de caractères	Oui	
	        Operator	Opérateur de comparaison (ex: "ISF" pour "est faux").	Chaîne de caractères	Oui	
	Inline	Indique si la case à cocher doit être affichée en ligne.	Booléen	Non	
	required	Indique si la case à cocher est obligatoire.	Booléen	Non	
